open,high,low,close,adjclose,volume,ingested_at_utc
3912.5,3912.5,3875.0,3900.0,3097.359375,37723600,2026-02-16 06:57:36.103698+00:00
3925.0,3962.5,3900.0,3962.5,3146.996826171875,45834400,2026-02-16 06:57:36.103698+00:00
3975.0,4000.0,3962.5,3975.0,3156.924072265625,35309200,2026-02-16 06:57:36.103698+00:00
3975.0,3987.5,3925.0,3962.5,3146.996826171875,19371400,2026-02-16 06:57:36.103698+00:00
3975.0,3987.5,3900.0,3925.0,3117.21435546875,35604600,2026-02-16 06:57:36.103698+00:00
3937.5,3937.5,3887.5,3887.5,3087.43212890625,18602600,2026-02-16 06:57:36.103698+00:00
3900.0,3937.5,3825.0,3900.0,3097.359375,32251400,2026-02-16 06:57:36.103698+00:00
3875.0,3875.0,3800.0,3812.5,3027.867431640625,26249200,2026-02-16 06:57:36.103698+00:00
3837.5,3850.0,3762.5,3775.0,2998.08544921875,38049800,2026-02-16 06:57:36.103698+00:00
3750.0,3762.5,3700.0,3712.5,2948.447998046875,40926800,2026-02-16 06:57:36.103698+00:00
3750.0,3850.0,3750.0,3850.0,3057.64990234375,43770600,2026-02-16 06:57:36.103698+00:00
3850.0,3912.5,3837.5,3862.5,3067.577392578125,41985000,2026-02-16 06:57:36.103698+00:00
3875.0,3900.0,3850.0,3887.5,3087.43212890625,24716600,2026-02-16 06:57:36.103698+00:00
3912.5,3925.0,3862.5,3925.0,3117.21435546875,40286800,2026-02-16 06:57:36.103698+00:00
