Date,open,high,low,close,adjclose,volume,ingested_at_utc,MA50,MA200,daily_return,volatility_20d,volume_ma20,price_change,running_max,drawdown
2025-06-11,4530.0,4540.0,4480.0,4540.0,4540.0,35008700,2026-02-16 06:57:36.103698+00:00,4152.435336914063,4453.112091064453,0.004424778761061843,0.020426258714139885,62665750.0,20.0,5460.84814453125,-0.1686273121242953
2025-06-12,4530.0,4540.0,4480.0,4540.0,4540.0,29571100,2026-02-16 06:57:36.103698+00:00,4160.083598632813,4452.408455810547,0.0,0.020341692528659323,61259840.0,0.0,5460.84814453125,-0.1686273121242953
2025-06-13,4480.0,4540.0,4450.0,4540.0,4540.0,30548300,2026-02-16 06:57:36.103698+00:00,4169.56744140625,4452.347274169922,0.0,0.020100922029150155,58887475.0,0.0,5460.84814453125,-0.1686273121242953
2025-06-16,4490.0,4490.0,4360.0,4400.0,4400.0,90223800,2026-02-16 06:57:36.103698+00:00,4178.086865234375,4451.287811279297,-0.03083700440528636,0.021561525084863736,61509275.0,-140.0,5460.84814453125,-0.19426435536275316
2025-06-17,4400.0,4420.0,4350.0,4360.0,4360.0,44876400,2026-02-16 06:57:36.103698+00:00,4188.3760986328125,4450.143072509765,-0.009090909090909038,0.015994888410479458,54779825.0,-40.0,5460.84814453125,-0.2015892248594554
2025-06-18,4350.0,4360.0,4250.0,4300.0,4300.0,40711200,2026-02-16 06:57:36.103698+00:00,4197.832446289062,4448.583609619141,-0.013761467889908285,0.014638186067882968,50785480.0,-60.0,5460.84814453125,-0.21257652910450878
2025-06-19,4300.0,4300.0,4100.0,4130.0,4130.0,87781700,2026-02-16 06:57:36.103698+00:00,4205.540815429687,4445.715252685547,-0.03953488372093028,0.016834547944261632,50726730.0,-170.0,5460.84814453125,-0.2437072244654933
2025-06-20,4120.0,4140.0,4050.0,4110.0,4110.0,178503500,2026-02-16 06:57:36.103698+00:00,4218.539482421875,4442.746895751953,-0.004842615012106588,0.01679881663284411,56645895.0,-20.0,5460.84814453125,-0.24736965921384443
2025-06-23,4060.0,4100.0,3970.0,4060.0,4060.0,53486300,2026-02-16 06:57:36.103698+00:00,4231.4559375,4439.299090576172,-0.012165450121654486,0.016892221602093187,55267785.0,-50.0,5460.84814453125,-0.25652574608472223
2025-06-24,4160.0,4210.0,4140.0,4140.0,4140.0,51925200,2026-02-16 06:57:36.103698+00:00,4242.668349609375,4435.792391357422,0.019704433497536922,0.017163166021738827,53865665.0,80.0,5460.84814453125,-0.24187600709131776
2025-06-25,4200.0,4200.0,4060.0,4110.0,4110.0,33883900,2026-02-16 06:57:36.103698+00:00,4246.856235351563,4432.250413818359,-0.007246376811594235,0.017104456737697043,53444125.0,-30.0,5460.84814453125,-0.24736965921384443
2025-06-26,4110.0,4120.0,4050.0,4120.0,4120.0,31912200,2026-02-16 06:57:36.103698+00:00,4251.427680664063,4428.528990478516,0.0024330900243310083,0.01690474181103444,53958660.0,10.0,5460.84814453125,-0.24553844183966886
2025-06-30,4130.0,4130.0,4050.0,4120.0,4120.0,53732100,2026-02-16 06:57:36.103698+00:00,4259.8538427734375,4424.578118896485,0.0,0.016926896925964715,54809575.0,0.0,5460.84814453125,-0.24553844183966886
2025-07-01,4120.0,4130.0,4000.0,4010.0,4010.0,55711200,2026-02-16 06:57:36.103698+00:00,4265.8964453125,4419.50362915039,-0.02669902912621358,0.01742959085014164,55551570.0,-110.0,5460.84814453125,-0.26568183295560005
2025-07-02,4010.0,4040.0,3970.0,4020.0,4020.0,31192900,2026-02-16 06:57:36.103698+00:00,4268.100771484375,4414.593863525391,0.0024937655860348684,0.017514244636668178,53923925.0,10.0,5460.84814453125,-0.2638506155814245
2025-07-03,4010.0,4060.0,3970.0,3970.0,3970.0,49947500,2026-02-16 06:57:36.103698+00:00,4266.91884765625,4410.237164306641,-0.01243781094527363,0.01687695121936934,52971635.0,-50.0,5460.84814453125,-0.2730067024523023
2025-07-04,3970.0,4010.0,3950.0,4000.0,4000.0,30396500,2026-02-16 06:57:36.103698+00:00,4263.4,4405.227398681641,0.007556675062972307,0.017070069928399656,52343720.0,30.0,5460.84814453125,-0.2675130503297756
2025-07-07,4000.0,4010.0,3930.0,4000.0,4000.0,28005400,2026-02-16 06:57:36.103698+00:00,4257.8,4399.873460693359,0.0,0.01686460483313561,51968995.0,0.0,5460.84814453125,-0.2675130503297756
2025-07-08,3980.0,4020.0,3950.0,3970.0,3970.0,27867600,2026-02-16 06:57:36.103698+00:00,4255.2,4394.943140869141,-0.007499999999999951,0.015170389746977224,51555205.0,-30.0,5460.84814453125,-0.2730067024523023
2025-07-09,3960.0,4000.0,3950.0,4000.0,4000.0,27904300,2026-02-16 06:57:36.103698+00:00,4254.4,4390.277545166015,0.007556675062972307,0.014046037109187873,50659490.0,30.0,5460.84814453125,-0.2675130503297756
2025-07-10,3980.0,4140.0,3980.0,4110.0,4110.0,44060900,2026-02-16 06:57:36.103698+00:00,4256.8,4386.506121826172,0.02750000000000008,0.015787000646394343,51112100.0,110.0,5460.84814453125,-0.24736965921384443
2025-07-11,4130.0,4220.0,4120.0,4180.0,4180.0,48939300,2026-02-16 06:57:36.103698+00:00,4260.2,4382.855250244141,0.017031630170316392,0.016505051780823985,52080510.0,70.0,5460.84814453125,-0.23455113759461552
2025-07-14,4190.0,4190.0,4000.0,4040.0,4040.0,68377100,2026-02-16 06:57:36.103698+00:00,4258.0,4378.504378662109,-0.03349282296650713,0.01773221036296797,53971950.0,-140.0,5460.84814453125,-0.2601881808330734
2025-07-15,4040.0,4070.0,4010.0,4050.0,4050.0,30497400,2026-02-16 06:57:36.103698+00:00,4255.6,4374.088782958985,0.0024752475247524774,0.01678258786728711,50985630.0,10.0,5460.84814453125,-0.2583569634588978
2025-07-16,4130.0,4150.0,4080.0,4130.0,4130.0,66349800,2026-02-16 06:57:36.103698+00:00,4254.2,4370.187911376953,0.01975308641975304,0.017544229913542958,52059300.0,80.0,5460.84814453125,-0.2437072244654933
2025-07-17,4140.0,4140.0,4090.0,4110.0,4110.0,25818000,2026-02-16 06:57:36.103698+00:00,4252.6,4365.728145751953,-0.004842615012106588,0.017356841025587516,51314640.0,-20.0,5460.84814453125,-0.24736965921384443
2025-07-18,4120.0,4150.0,4100.0,4120.0,4120.0,35072000,2026-02-16 06:57:36.103698+00:00,4252.2,4360.40058959961,0.0024330900243310083,0.014966858301253645,48679155.0,10.0,5460.84814453125,-0.24553844183966886
2025-07-21,4140.0,4140.0,4070.0,4070.0,4070.0,35004100,2026-02-16 06:57:36.103698+00:00,4250.0,4354.478863525391,-0.012135922330097082,0.015178047476628816,41504185.0,-50.0,5460.84814453125,-0.25469452871054665
2025-07-22,4090.0,4090.0,4040.0,4050.0,4050.0,32607800,2026-02-16 06:57:36.103698+00:00,4247.0,4348.571861572265,-0.004914004914004955,0.014966819022718077,40460260.0,-20.0,5460.84814453125,-0.2583569634588978
2025-07-23,4080.0,4100.0,4040.0,4100.0,4100.0,23315700,2026-02-16 06:57:36.103698+00:00,4244.8,4343.144305419922,0.012345679012345734,0.014540882106125934,39029785.0,50.0,5460.84814453125,-0.24920087658801998
2025-07-24,4100.0,4250.0,4080.0,4220.0,4220.0,57276100,2026-02-16 06:57:36.103698+00:00,4245.6,4338.546197509766,0.029268292682926855,0.015865956934312184,40199395.0,120.0,5460.84814453125,-0.22722626809791327
2025-07-25,4160.0,4180.0,4070.0,4090.0,4090.0,48597600,2026-02-16 06:57:36.103698+00:00,4244.2,4333.183365478516,-0.03080568720379151,0.017421226743224365,41033665.0,-130.0,5460.84814453125,-0.25103209396219556
2025-07-28,4110.0,4220.0,4090.0,4210.0,4210.0,45451600,2026-02-16 06:57:36.103698+00:00,4246.0,4328.305809326172,0.02933985330073341,0.01863389555311499,40619640.0,120.0,5460.84814453125,-0.22905748547208882
2025-07-29,4200.0,4200.0,4120.0,4150.0,4150.0,27287100,2026-02-16 06:57:36.103698+00:00,4247.0,4322.898807373047,-0.014251781472684133,0.017842470753884423,39198435.0,-60.0,5460.84814453125,-0.2400447897171422
2025-07-30,4150.0,4160.0,4090.0,4120.0,4120.0,33919100,2026-02-16 06:57:36.103698+00:00,4242.0,4316.768184814453,-0.0072289156626506035,0.01795662937940191,39334745.0,-30.0,5460.84814453125,-0.24553844183966886
2025-07-31,4100.0,4110.0,4010.0,4010.0,4010.0,50384500,2026-02-16 06:57:36.103698+00:00,4232.2,4310.431734619141,-0.02669902912621358,0.018797778920703938,39356595.0,-110.0,5460.84814453125,-0.26568183295560005
2025-08-01,4050.0,4070.0,4010.0,4010.0,4010.0,32295500,2026-02-16 06:57:36.103698+00:00,4222.4,4303.865836181641,0.0,0.01872787511831814,39451545.0,0.0,5460.84814453125,-0.26568183295560005
2025-08-04,4000.0,4030.0,3990.0,4010.0,4010.0,30440700,2026-02-16 06:57:36.103698+00:00,4213.4,4297.299937744141,0.0,0.01872787511831814,39573310.0,0.0,5460.84814453125,-0.26568183295560005
2025-08-05,4040.0,4230.0,4040.0,4220.0,4220.0,93772600,2026-02-16 06:57:36.103698+00:00,4208.8,4292.701829833984,0.052369077306733125,0.02192819318496664,42868560.0,210.0,5460.84814453125,-0.22722626809791327
2025-08-06,4220.0,4230.0,4100.0,4100.0,4100.0,27975700,2026-02-16 06:57:36.103698+00:00,4200.4,4287.503721923828,-0.028436018957345932,0.023009467472829354,42872130.0,-120.0,5460.84814453125,-0.24920087658801998
2025-08-07,4120.0,4140.0,4100.0,4120.0,4120.0,21207800,2026-02-16 06:57:36.103698+00:00,4193.4,4283.093956298828,0.004878048780487809,0.022205312207529436,41729475.0,20.0,5460.84814453125,-0.24553844183966886
2025-08-08,4090.0,4100.0,4070.0,4070.0,4070.0,43531000,2026-02-16 06:57:36.103698+00:00,4184.6,4278.893084716797,-0.012135922330097082,0.022009304782238715,41459060.0,-50.0,5460.84814453125,-0.25469452871054665
2025-08-11,4090.0,4220.0,4080.0,4200.0,4200.0,61703500,2026-02-16 06:57:36.103698+00:00,4178.6,4275.227489013672,0.03194103194103204,0.02180371952134494,41125380.0,130.0,5460.84814453125,-0.2308887028462644
2025-08-12,4220.0,4420.0,4210.0,4360.0,4360.0,120908000,2026-02-16 06:57:36.103698+00:00,4175.2,4272.476617431641,0.03809523809523818,0.02323778397971828,45645910.0,160.0,5460.84814453125,-0.2015892248594554
2025-08-13,4390.0,4420.0,4310.0,4370.0,4370.0,54042400,2026-02-16 06:57:36.103698+00:00,4172.8,4269.661021728516,0.002293577981651307,0.02293883822886598,45030540.0,10.0,5460.84814453125,-0.19975800748527986
2025-08-14,4400.0,4400.0,4360.0,4390.0,4390.0,43156900,2026-02-16 06:57:36.103698+00:00,4173.2,4267.174874267578,0.004576659038901587,0.022864282330353727,45897485.0,20.0,5460.84814453125,-0.19609557273692874
2025-08-15,4370.0,4450.0,4370.0,4370.0,4370.0,62301400,2026-02-16 06:57:36.103698+00:00,4173.2,4265.162344970703,-0.004555808656036442,0.02293549363162201,47258955.0,-20.0,5460.84814453125,-0.19975800748527986
2025-08-19,4360.0,4360.0,4280.0,4330.0,4330.0,34407300,2026-02-16 06:57:36.103698+00:00,4173.8,4262.261473388672,-0.009153318077803174,0.022840045908314732,47229115.0,-40.0,5460.84814453125,-0.20708287698198208
2025-08-20,4290.0,4450.0,4290.0,4430.0,4430.0,52897600,2026-02-16 06:57:36.103698+00:00,4174.0,4259.975325927734,0.023094688221708903,0.023163293760187297,48243605.0,100.0,5460.84814453125,-0.1887707032402265
2025-08-21,4420.0,4490.0,4400.0,4490.0,4490.0,60899400,2026-02-16 06:57:36.103698+00:00,4173.4,4257.989178466797,0.013544018058690765,0.023185523729096696,50122790.0,60.0,5460.84814453125,-0.17778339899517312
